chr	start
chr21	9437445
chr21	9437459
chr21	9437462
chr21	9437465
chr21	9437471
chr21	9437473
chr21	9437489
chr21	9437517
chr21	9437519
chr21	9437531
chr21	9437533
chr21	9437536
chr21	9437539
chr21	9439600
chr21	9439635
chr21	9439636
chr21	9439677
chr21	9439678
chr21	9439685
chr21	9439717
chr21	9439725
chr21	9439741
chr21	9483487
chr21	9483489
chr21	9483492
chr21	9483495
chr21	9483497
chr21	9483513
chr21	9483516
chr21	9483519
chr21	9483522
chr21	9483524
chr21	9483536
chr21	9483539
chr21	9483541
chr21	9483554
chr21	9483574
chr21	9483577
chr21	9483580
chr21	9483582
chr21	9483600
chr21	9483603
chr21	9483622
chr21	9540076
chr21	9540079
chr21	9540093
chr21	9540119
chr21	9540129
chr21	9540175
chr21	9570890
chr21	9575282
chr21	9575331
chr21	9575342
chr21	9575348
chr21	9575356
chr21	9575376
chr21	9575387
chr21	9575420
chr21	9575428
chr21	9575432
chr21	9575476
chr21	9647763
chr21	9647766
chr21	9647767
chr21	9647779
chr21	9647780
chr21	9647787
chr21	9647788
chr21	9647867
chr21	9647868
chr21	9647873
chr21	9647874
chr21	9647876
chr21	9647877
chr21	9647881
chr21	9647891
chr21	9647904
chr21	9652797
chr21	9652868
chr21	9652926
chr21	9652927
chr21	9652937
chr21	9652938
chr21	9652972
chr21	9652973
chr21	9653025
chr21	9653026
chr21	9653102
chr21	9653465
chr21	9653540
chr21	9653597
chr21	9662047
chr21	9662055
chr21	9662061
chr21	9662073
chr21	9662085
chr21	9695938
chr21	9695946
chr21	9695951
chr21	9695953
chr21	9695997
chr21	9696001
chr21	9696014
chr21	9696023
chr21	9696217
chr21	9696218
chr21	9696263
chr21	9696796
chr21	9696809
chr21	9696832
chr21	9696928
chr21	9696970
chr21	9696977
chr21	9698911
chr21	9698961
chr21	9698987
chr21	9699023
chr21	9699077
chr21	9699134
chr21	9699148
chr21	9699156
chr21	9699278
chr21	9699314
chr21	9699354
chr21	9699356
chr21	9699439
chr21	9699572
chr21	9699586
chr21	9699608
chr21	9700297
chr21	9700321
chr21	9700331
chr21	9700396
chr21	9700459
chr21	9700485
chr21	9700488
chr21	9700501
chr21	9700504
chr21	9700512
chr21	9700525
chr21	9700582
chr21	9700626
chr21	9700719
chr21	9700738
chr21	9700820
chr21	9700837
chr21	9700851
chr21	9701282
chr21	9701337
chr21	9701347
chr21	9701375
chr21	9701413
chr21	9701431
chr21	9701451
chr21	9701456
chr21	9701466
chr21	9701497
chr21	9702102
chr21	9702118
chr21	9702179
chr21	9702181
chr21	9702236
chr21	9702265
chr21	9702284
chr21	9702294
chr21	9702307
chr21	9702330
chr21	9702340
chr21	9702346
chr21	9702370
chr21	9702402
chr21	9702416
chr21	9702471
chr21	9702481
chr21	9702486
chr21	9702492
chr21	9704364
chr21	9704371
chr21	9704379
chr21	9704385
chr21	9704393
chr21	9704423
chr21	9704431
chr21	9704471
chr21	9704477
chr21	9704509
chr21	9704514
chr21	9717491
chr21	9717558
chr21	9717661
chr21	9723335
chr21	9723394
chr21	9825467
chr21	9825471
chr21	9825472
chr21	9825490
chr21	9825491
chr21	9825495
chr21	9825496
chr21	9825498
chr21	9825499
chr21	9825506
chr21	9825507
chr21	9825515
chr21	9825539
chr21	9825546
chr21	9825547
chr21	9825550
chr21	9825551
chr21	9825568
chr21	9825569
chr21	9825572
chr21	9825573
chr21	9825575
chr21	9825576
chr21	9825579
chr21	9825580
chr21	9825582
chr21	9825583
chr21	9825600
chr21	9825601
chr21	9825604
chr21	9825605
chr21	9825612
chr21	9825613
chr21	9825620
chr21	9825621
chr21	9825624
chr21	9825625
chr21	9825636
chr21	9825637
chr21	9825646
chr21	9825647
chr21	9825653
chr21	9825779
chr21	9825786
chr21	9825787
chr21	9825793
chr21	9825794
chr21	9825796
chr21	9825797
chr21	9825798
chr21	9825799
chr21	9825802
chr21	9825803
chr21	9825814
chr21	9825815
chr21	9825821
chr21	9825828
chr21	9825832
chr21	9825833
chr21	9825834
chr21	9825835
chr21	9825840
chr21	9825841
chr21	9825843
chr21	9825844
chr21	9825846
chr21	9825847
chr21	9825862
chr21	9825863
chr21	9825864
chr21	9825865
chr21	9825871
chr21	9825872
chr21	9825874
chr21	9825875
chr21	9825882
chr21	9825944
chr21	9825950
chr21	9825951
chr21	9825954
chr21	9825955
chr21	9825958
chr21	9825959
chr21	9825960
chr21	9825961
chr21	9825964
chr21	9825965
chr21	9825975
chr21	9825976
chr21	9825980
chr21	9825981
chr21	9825992
chr21	9825993
chr21	9825995
chr21	9825996
chr21	9825999
chr21	9826000
chr21	9826008
chr21	9826009
chr21	9826010
chr21	9826011
chr21	9826019
chr21	9826020
chr21	9826022
chr21	9826023
chr21	9826027
chr21	9826028
chr21	9826033
chr21	9826034
chr21	9826037
chr21	9826038
chr21	9826047
chr21	9826048
chr21	9826058
chr21	9826110
chr21	9826119
chr21	9826120
chr21	9826121
chr21	9826122
chr21	9826132
chr21	9826133
chr21	9826137
chr21	9826138
chr21	9826141
chr21	9826142
chr21	9826146
chr21	9826147
chr21	9826150
chr21	9826151
chr21	9826153
chr21	9826154
chr21	9826156
chr21	9826157
chr21	9826159
chr21	9826160
chr21	9826170
chr21	9826171
chr21	9826179
chr21	9826180
chr21	9826181
chr21	9826182
chr21	9826186
chr21	9826187
chr21	9826189
chr21	9826190
chr21	9826194
chr21	9826195
chr21	9826198
chr21	9826199
chr21	9826201
chr21	9826202
chr21	9826203
chr21	9826204
chr21	9826205
chr21	9826206
chr21	9826207
chr21	9826208
chr21	9826211
chr21	9826212
chr21	9826215
chr21	9826216
chr21	9826219
chr21	9826220
chr21	9826221
chr21	9826222
chr21	9826227
chr21	9826239
chr21	9826247
chr21	9826248
chr21	9826251
chr21	9826252
chr21	9826255
chr21	9826256
chr21	9826258
chr21	9826259
chr21	9826265
chr21	9826266
chr21	9826272
chr21	9826273
chr21	9826279
chr21	9826280
chr21	9826288
chr21	9826393
chr21	9826398
chr21	9826412
chr21	9826415
chr21	9826422
chr21	9826437
chr21	9826441
chr21	9826443
chr21	9826447
chr21	9826450
chr21	9826501
chr21	9826506
chr21	9826507
chr21	9826508
chr21	9826509
chr21	9826512
chr21	9826513
chr21	9826517
chr21	9826518
chr21	9826521
chr21	9826522
chr21	9826525
chr21	9826526
chr21	9826528
chr21	9826529
chr21	9826530
chr21	9826531
chr21	9826541
chr21	9826577
chr21	9826581
chr21	9826582
chr21	9826584
chr21	9826585
chr21	9826590
chr21	9826591
chr21	9826595
chr21	9826596
chr21	9826597
chr21	9826598
chr21	9826602
chr21	9826603
chr21	9826606
chr21	9826607
chr21	9826611
chr21	9826612
chr21	9826614
chr21	9826615
chr21	9826620
chr21	9826621
chr21	9826625
chr21	9826626
chr21	9826628
chr21	9826629
chr21	9826631
chr21	9826632
chr21	9826635
chr21	9826636
chr21	9826637
chr21	9826638
chr21	9826641
chr21	9826642
chr21	9826645
chr21	9826688
chr21	9826692
chr21	9826693
chr21	9826694
chr21	9826695
chr21	9826699
chr21	9826700
chr21	9826704
chr21	9826705
chr21	9826708
chr21	9826709
chr21	9826716
chr21	9826717
chr21	9826718
chr21	9826719
chr21	9826722
chr21	9826723
chr21	9826726
chr21	9826727
chr21	9826728
chr21	9826729
chr21	9826731
chr21	9826732
chr21	9826739
chr21	9826740
chr21	9826742
chr21	9826743
chr21	9826744
chr21	9826745
chr21	9826755
chr21	9826756
chr21	9826757
chr21	9826758
chr21	9826765
chr21	9826766
chr21	9826772
chr21	9826773
chr21	9826777
chr21	9826778
chr21	9826779
chr21	9826780
chr21	9826788
chr21	9826789
chr21	9826801
chr21	9826802
chr21	9826806
chr21	9826840
chr21	9826844
chr21	9826845
chr21	9826847
chr21	9826848
chr21	9826853
chr21	9826854
chr21	9826855
chr21	9826856
chr21	9826859
chr21	9826860
chr21	9826863
chr21	9826864
chr21	9826873
chr21	9826874
chr21	9826877
chr21	9826878
chr21	9826881
chr21	9826882
chr21	9826885
chr21	9826886
chr21	9826887
chr21	9826888
chr21	9826892
chr21	9826893
chr21	9826896
chr21	9826897
chr21	9826900
chr21	9826901
chr21	9826904
chr21	9826905
chr21	9826908
chr21	9826909
chr21	9826911
chr21	9826912
chr21	9826920
chr21	9826921
chr21	9826926
chr21	9826927
chr21	9826931
chr21	9826932
chr21	9826935
chr21	9826970
chr21	9826974
chr21	9826975
chr21	9826976
chr21	9826977
chr21	9826979
chr21	9826980
chr21	9826987
chr21	9826988
chr21	9826990
chr21	9826991
chr21	9826992
chr21	9826993
chr21	9827069
chr21	9827070
chr21	9827073
chr21	9827074
chr21	9827077
chr21	9827078
chr21	9827093
chr21	9827094
chr21	9827129
chr21	9827130
chr21	9827133
chr21	9827134
chr21	9827183
chr21	9827184
chr21	9827186
chr21	9827187
chr21	9827190
chr21	9827191
chr21	9827203
chr21	9827204
chr21	9827205
chr21	9827206
chr21	9827207
chr21	9827216
chr21	9827217
chr21	9827244
chr21	9827282
chr21	9827285
chr21	9827286
chr21	9827310
chr21	9827311
chr21	9827319
chr21	9827320
chr21	9827323
chr21	9827324
chr21	9827330
chr21	9827331
chr21	9827335
chr21	9827336
chr21	9827338
chr21	9827339
chr21	9827341
chr21	9827342
chr21	9827350
chr21	9827351
chr21	9827354
chr21	9827355
chr21	9827373
chr21	9827374
chr21	9827383
chr21	9827384
chr21	9827386
chr21	9827387
chr21	9827406
chr21	9827407
chr21	9827413
chr21	9827414
chr21	9827428
chr21	9827429
chr21	9827434
chr21	9827435
chr21	9827454
chr21	9827455
chr21	9827483
chr21	9827484
chr21	9827485
chr21	9827486
chr21	9827502
chr21	9827503
chr21	9827508
chr21	9829442
chr21	9829457
chr21	9829458
chr21	9829538
chr21	9830745
chr21	9830821
chr21	9830982
chr21	9876838
chr21	9876843
chr21	9876890
chr21	9876891
chr21	9876903
chr21	9876904
chr21	9876905
chr21	9876906
chr21	9876939
chr21	9876963
chr21	9876982
chr21	9876999
chr21	9877038
chr21	9877055
chr21	9877086
chr21	9877094
chr21	9877099
chr21	9877101
chr21	9877102
chr21	9877191
chr21	9877227
chr21	9880008
chr21	9880037
chr21	9880050
chr21	9880070
chr21	9880073
chr21	9880096
chr21	9880113
chr21	9880130
chr21	9880145
chr21	9880159
chr21	9880214
chr21	9880229
chr21	9880235
chr21	9880974
chr21	9881002
chr21	9881005
chr21	9881007
chr21	9881087
chr21	9881117
chr21	9881139
chr21	9881162
chr21	9882048
chr21	9882051
chr21	9882066
chr21	9882067
chr21	9882072
chr21	9882073
chr21	9882080
chr21	9882081
chr21	9882095
chr21	9882096
chr21	9882100
chr21	9882101
chr21	9882110
chr21	9882111
chr21	9882113
chr21	9882114
chr21	9882118
chr21	9882119
chr21	9882147
chr21	9882148
chr21	9882164
chr21	9882165
chr21	9882202
chr21	9904407
chr21	9906579
chr21	9908338
chr21	9908399
chr21	9908400
chr21	9908425
chr21	9908426
chr21	9908476
chr21	9909517
chr21	9909519
chr21	9909525
chr21	9909537
chr21	9909569
chr21	9909576
chr21	9909602
chr21	9909606
chr21	9909608
chr21	9909612
chr21	9910351
chr21	9910374
chr21	9910375
chr21	9910401
chr21	9910402
chr21	9910439
chr21	9910468
chr21	9910500
chr21	9913590
chr21	9913614
chr21	9913630
chr21	9913713
chr21	9913739
chr21	9925836
chr21	9925845
chr21	9925913
chr21	9925917
chr21	9925954
chr21	9925964
chr21	9925972
chr21	9925978
chr21	9925995
chr21	9926764
chr21	9926774
chr21	9926776
chr21	9926807
chr21	9926809
chr21	9926825
chr21	9926827
chr21	9926882
chr21	9926990
chr21	9927032
chr21	9927033
chr21	9927038
chr21	9927039
chr21	9927045
chr21	9927046
chr21	9927058
chr21	9927059
chr21	9927065
chr21	9927066
chr21	9927088
chr21	9927089
chr21	9927096
chr21	9927116
chr21	9927152
chr21	9927155
chr21	9927158
chr21	9927160
chr21	9927171
chr21	9927181
chr21	9927183
chr21	9927191
chr21	9927228
chr21	9945337
chr21	9945398
chr21	9945428
chr21	9945466
chr21	9945504
chr21	9945532
chr21	9945536
chr21	9963396
chr21	9963455
chr21	9963456
chr21	9963525
chr21	9963526
chr21	9963571
chr21	9963728
chr21	9963752
chr21	9968303
chr21	9968319
chr21	9968332
chr21	9968353
chr21	9968372
chr21	9968384
chr21	9968389
chr21	9968399
chr21	9968417
chr21	9968419
chr21	9968424
chr21	9968430
chr21	9968432
chr21	9968470
chr21	9968471
chr21	9968480
chr21	9968501
chr21	9968507
chr21	9968558
chr21	9968562
chr21	9968565
chr21	9968575
chr21	9968583
chr21	9968596
chr21	9968597
chr21	9968605
chr21	9968606
chr21	9968610
chr21	9968611
chr21	9968613
chr21	9968614
chr21	9968619
chr21	9968620
chr21	9968699
chr21	9968700
chr21	9968707
chr21	9968708
chr21	9968716
chr21	9968717
chr21	9968720
chr21	9968721
chr21	9968724
chr21	10144286
chr21	10144441
chr21	10144442
chr21	10144447
chr21	10163415
chr21	10163422
chr21	10163439
chr21	10163445
chr21	10163469
chr21	10163742
chr21	10163750
chr21	10163830
chr21	10163836
chr21	10163839
chr21	10163843
chr21	10169767
chr21	10169880
chr21	10169886
chr21	10193241
chr21	10193301
chr21	10193311
chr21	10193349
chr21	10193379
chr21	10193440
chr21	10371851
chr21	10371864
chr21	10395370
chr21	10395381
chr21	10421834
chr21	10421917
chr21	10421918
chr21	10421939
chr21	10421940
chr21	10421960
chr21	10421961
chr21	10421967
chr21	10428163
chr21	10428261
chr21	10428524
chr21	10428573
chr21	10491755
chr21	10491794
chr21	10491869
chr21	10491906
chr21	10491963
chr21	10492166
chr21	10572181
chr21	10572227
chr21	10572271
chr21	10572311
chr21	10576890
chr21	10576906
chr21	10576930
chr21	10576974
chr21	10576978
chr21	10576990
chr21	10577028
chr21	10577059
chr21	10577073
chr21	10577084
chr21	10577089
chr21	10577127
chr21	10577129
chr21	10577137
chr21	10582794
chr21	10582838
chr21	10582847
chr21	10582854
chr21	10582899
chr21	10582963
chr21	10597191
chr21	10597209
chr21	10597210
chr21	10597220
chr21	10597221
chr21	10597233
chr21	10597234
chr21	10597247
chr21	10597248
chr21	10597270
chr21	10597271
chr21	10597277
chr21	10597278
chr21	10597281
chr21	10597282
chr21	10597283
chr21	10597284
chr21	10597287
chr21	10597288
chr21	10597305
chr21	10597306
chr21	10597307
chr21	10597308
chr21	10597319
chr21	10597878
chr21	10597885
chr21	10597912
chr21	10597920
chr21	10597924
chr21	10597932
chr21	10597953
chr21	10597960
chr21	10597968
chr21	10597990
chr21	10598118
chr21	10598137
chr21	10598176
chr21	10598190
chr21	10598199
chr21	10598202
chr21	10598205
chr21	10598210
chr21	10598232
chr21	10598236
chr21	10598266
chr21	10598275
chr21	10598282
chr21	10598298
chr21	10598314
chr21	10598316
chr21	10598336
chr21	10598367
chr21	10598373
chr21	10598386
chr21	10598390
chr21	10598393
chr21	10599507
chr21	10599525
chr21	10599526
chr21	10599554
chr21	10599555
chr21	10599598
chr21	10600469
chr21	10600481
chr21	10600492
chr21	10600505
chr21	10600516
chr21	10600535
chr21	10600580
chr21	10600607
chr21	10600610
chr21	10600635
chr21	10600653
chr21	10600667
chr21	10602326
chr21	10602338
chr21	10602349
chr21	10602354
chr21	10602362
chr21	10602367
chr21	10602454
chr21	10602457
chr21	10602459
chr21	10602467
chr21	10602485
chr21	10602489
chr21	10884733
chr21	10884745
